Organization ID,Site ID / Google Group,Site,Google Group Name,MayoLINK Client #,Anticipated Launch Date,Notes Spanish,Notes,Enrolling Status TEST,PTSC Scheduling Status TEST,Digital Scheduling Status TEST,Enrolling Status STAGING,PTSC Scheduling Status STAGING,Digital Scheduling Status STAGING,Enrolling Status STABLE,PTSC Scheduling Status STABLE,Digital Scheduling Status STABLE,Enrolling Status PROD,PTSC Scheduling Status PROD,Digital Scheduling Status PROD,Scheduling Instructions,Scheduling Instructions Spanish,Directions,Physical Location Name,Address 1,Address 2,City,State,Zip,Phone,Admin Email Addresses,Link
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannertucson,Banner University Medical Center - Tucson,HPO Banner Tucson,7035650,,,"Formerly CATS. Rachele: We would like to note our hours of walk-in. Would this go in the Physical Location cell, or just for future reference to avoid walk-ins at an hour that cannot be accommodated, which results in an unhappy participant: Open Monday-Friday 7:30 am to 3:00 pm",Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,,,1515 N Campbell Ave,,Tucson,AZ,85724,877-268-2684,"jillianwilson@email.arizona.edu, ebmarsh@email.arizona.edu",
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannerscampus,Banner University Medical Center - South Campus,HPO Banner S Campus,7035651,,,"Rachele: We would like to note our hours of walk-in. Would this go in the Physical Location cell, or just for future reference to avoid walk-ins at an hour that cannot be accommodated, which results in an unhappy participant: Open Monday-Friday 7:30 am to 3:00 pm",Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,,,2800 E Ajo Way,,Tucson,AZ,85713,877-268-2684,"jillianwilson@email.arizona.edu, ebmarsh@email.arizona.edu",
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannerphoenix,Banner University Medical Center - Phoenix,HPO Banner Phoenix,7035652,,,,Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,,,755 E. McDowell Rd.,,Phoenix,AZ,85006,877-268-2684,"owilliams@email.arizona.edu, jordanbishop@email.arizona.edu",
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannerestrella,Banner Estrella Medical Center,HPO Banner Estrella,7035653,,,,Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,,,9201 W. Thomas Rd.,,Phoenix,AZ,85037,877-268-2684,"jordanbishop@email.arizona.edu, jillianwilson@email.arizona.edu",
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannerdesert,Banner Desert Medical Center,HPO Banner Desert,7035654,,,,Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,"Cross Streets are <em>South</em> <u>Dobson</u> <strong>Road</strong> and Banner Desert. From South Dobson Road, turn West onto Banner Desert. Turn first left to stay on Banner Desert, road will curve to the right, then a slight left. Before road curves right, the 2145 Building will be at the left side of the road. Turn left in to the 2145 buildings parking lot. Or you may park in the garage that is to the east of the 2145 Building.

Intersecciones son Sur de Dobson Road y Banner Desert. Desde sur de Dobson Road, gire hacia el oeste en Banner Desert. Gire a la izquierda para permanecer en Banner Desert, la calle se curvará hacia la derecha y luego a la izquierda. Antes de que la calle gire a la derecha, el edificio 2145 estará en el lado izquier",Building 2145,2145 West Southern,,Mesa,AZ,85202,877-268-2684,"jordanbishop@email.arizona.edu, jillianwilson@email.arizona.edu",
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannercasagrande,Banner Casa Grande Medical Center ,HPO Banner Casa Grande,7036425,,,,Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Inactive,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,"Take Interstate 10 (I-10) east to AZ-287 West/Florence Blvd in Casa Grande. Take exit 194 from I-10 E.  Turn west onto AZ-287/Florence Blvd.  Just Past S. Henness Road,  Banner Casa Grande Medical Center will be on the Right (North) side of the road.  Turn North in to Banner Casa Grande Medical Center’s parking lot.  The 1780 medical building is connected to the hospital, and is located on the westside of the main hospital, ground floor in suite 108.  

Tome la carretera interestatal 10 (I-10) hacia el este hasta AZ-287 West / Florence Blvd en Casa Grande. Tome la salida 194 de la I-10 E. Gire hacia el oeste en AZ-287 / Florence Blvd. Justo después de S. Henness Road, el Centro Médico Banner Casa Grande estará en el lado derecho (norte) de la carretera. Gire hacia el norte hacia el estacionamiento de Banner Casa Grande Medical Center. El edificio médico 1780 está conectado al hospital y está ubicado en el lado oeste del hospital principal, en la planta baja de la suite 108.",,1780 E. Florence Blvd. Suite 108,,Casa Grande,AZ,85122,877-268-2684,jillianwilson@email.arizona.edu,
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannerthunderbird,Banner Thunderbird Medical Center,HPO Banner Thunderbird,7036427,,,,Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,,,5555 W. Thunderbird Rd.,,Glendale,AZ,85306,877-268-2684,"jordanbishop@email.arizona.edu, jillianwilson@email.arizona.edu",
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannerphoenixmobile,Banner Phoenix Mobile Health Unit,HPO Banner Phoenix Mobile,7036460,8/7/18,,,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the <em>All of Us</em> Research Program may contact you by phone and/or
<strong>email</strong> to <u>schedule</u> an appointment and to share more information
about the Program. You may already have an appointment scheduled.
To contact us directly, please call <a href=""tel:877-268-2684"">877-268-2684</a> or email
<a href=""mailto:AllofUsAZ@email.arizona.edu"" rel=""noopener"">AllofUsAZ@email.arizona.edu</a>.
<br>
<p>    For a list of our locations, visit <a href=""https://allofusaz.org/"">AllofUsAZ.org</a>.
    <br><br>
    El personal del Programa Científico <em>All of Us</em> se comunicará con usted por
    teléfono y/o correo electrónico para hacer una cita y compartir más información
    acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse
    directamente con nosotros, por favor llame al <a href=""tel:877-268-2684"">877-268-2684</a>
    o envíe un correo electrónico a
    <a href=""mailto:AllofUsAZ@email.arizona.edu"" rel=""noopener"" target=""_blank"">AllofUsAZ@email.arizona.edu<a>.
        <br><br>
        Para ver la lista de nuestras clínicas, visite <a href=""https://allofusaz.org/"" target=""_blank"" rel=""noopener"" >AllofUsAZ.org</a>.",,,,714 E Van Buren St.,,Phoenix,AZ,85006,877-268-2684,"jordanbishop@email.arizona.edu, jillianwilson@email.arizona.edu",
AZ_TUCSON_BANNER_HEALTH,hpo-site-bannerboswell,Banner Boswell Medical Center,HPO Banner Boswell,7036426,,,,Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,,In the Memorial Hall Building,10401 W. Thunderbird Rd.,,Sun City,AZ,85351,877-268-2684,"jordanbishop@email.arizona.edu, jillianwilson@email.arizona.edu",
AZ_TUCSON_BANNER_HEALTH,hpo-site-banneralvernonclinic,Banner University Medical Center Alvernon Clinic,HPO Banner Alvernon Clinic,7036647,6/4/18,,"Rachele: We would like to note our hours of walk-in. Would this go in the Physical Location cell, or just for future reference to avoid walk-ins at an hour that cannot be accommodated, which results in an unhappy participant: Open Monday-Friday 7:30 am to 2:00 pm",Active,Active,Active,Active,Active,Inactive,Active,Active,Inactive,Active,Active,Inactive,"Someone from the All of Us Research Program may contact you by phone and/or email to schedule an appointment and to share more information about the Program. You may already have an appointment scheduled. To contact us directly, please call 877-268-2684 or email AllofUsAZ@email.arizona.edu. For a list of our locations, visit AllofUsAZ.org.

El personal del Programa Científico All of Us se comunicará con usted por teléfono y/o correo electrónico para hacer una cita y compartir más información acerca del programa. Quizás, usted ya tiene una cita. Para comunicarse directamente con nosotros, por favor llame al 877-268-2684 o envíe un correo electrónico a AllofUsAZ@email.arizona.edu. Para ver la lista de nuestras clínicas, visite AllofUsAZ.org.",,,"We are located inside the gray building that is between 4th St. and 5th St., north of the CVS Pharmacy and south of the Banner Health glass white building. 

Nos encontramos dentro del edificio gris, ubicado entre la 4th St. y 5 th St., al norte de la Farmacia CVS y al sur del edificio blanco de cristal de Banner Health. ",655 N Alvernon Way Suite 108,,Tucson,AZ,85716,877-268-2684,"jillianwilson@email.arizona.edu, ebmarsh@email.arizona.edu",
